total_cost,total_emission,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12
19449.6758,3911.68604,121.401772,82.3947754,83.4050369,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,114.132935,78.1721115
19488.8223,3900.48633,107.601036,75.7107239,74.6066666,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,101.588844
19505.4199,3896.18799,101.218285,72.0266876,72.3829727,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,113.879417
19508.1797,3895.49512,100.258163,72.0173721,71.3244781,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,115.907158
19491.1191,3899.87622,106.614998,74.5917358,74.9950409,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,103.305397
19513.6602,3894.14697,97.5904999,71.0305481,70.8862,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19513.8008,3894.10889,98.5893326,70.8325729,70.0852509,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19513.791,3894.11133,98.5170364,70.8600388,70.1300583,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19514.252,3894.02466,101.716339,68.8326492,68.9581833,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19514.7109,3893.99243,104.758766,67.4151688,67.3331909,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19513.2031,3894.25708,98.5015488,70.8222351,70.5947723,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.588982
19513.3594,3894.21973,99.5979462,70.3823013,69.9382324,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.588982
19509.5195,3895.16333,99.7273636,71.9823532,70.9017563,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,116.895737
19425.125,3919.53955,131.577835,88.9985809,85.5152054,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,101.781403,71.633461
19499.9121,3897.58618,103.575134,72.809227,73.335907,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,109.787033
19491.1348,3899.87231,105.894707,75.3724823,74.8529282,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,103.387024
19514.3945,3894.00928,102.667221,68.4135742,68.4264145,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19496.3203,3898.5127,104.950867,73.556221,73.8710785,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,107.129059
19511.7852,3894.60376,99.1658783,71.0040436,70.8030548,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,118.534409
19511.832,3894.59277,99.5009766,70.4968719,70.9751282,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,118.534409
19513.9551,3894.07349,99.6787872,69.9644089,69.8639679,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19509.2363,3895.2334,100.455521,71.6955185,70.7310944,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,116.625237
19509.3633,3895.20264,99.7064667,71.9034653,71.1099243,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,116.787544
19498.3906,3897.97754,104.396454,73.7974548,72.6767578,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,108.636665
19510.9492,3894.80908,99.6999359,70.8520737,71.057045,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,117.898155
19513.1855,3894.26001,98.6781845,70.8405762,70.4284439,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.560097
19386.4062,3933.26831,142.228073,96.6871872,96.9056854,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,77.3120346,66.3736725
19386.7168,3933.13696,144.790894,96.2429657,94.7869186,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,77.3120346,66.3736725
19499.3887,3897.71948,103.280121,73.6170654,73.1612167,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,109.448807
19514.3027,3894.01831,102.052589,69.044838,68.4096451,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19500.5078,3897.43384,103.412804,72.6725388,73.2014313,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,110.220512
19373.5039,3938.22705,148.213562,99.5684204,98.300209,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,67.1387024,66.2855759
19509.2578,3895.22778,100.055916,71.4100266,71.3609009,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,116.680496
19483.5996,3901.89331,109.665359,76.0517807,76.0962067,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.653267,98.0399323
19480.0293,3902.87061,110.608505,77.8552322,75.9678497,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.653267,95.4216232
19513.6172,3894.15552,98.9810638,70.0453339,70.6483307,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.83255
19514.4238,3894.00684,102.858322,68.2798157,68.3690796,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19480.4805,3902.74292,110.824173,76.8489075,76.4520645,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,95.381958
19484.7012,3901.59424,109.380333,75.6672363,75.9533539,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,98.50634
19511.2656,3894.73047,99.8501129,70.8704681,70.6813812,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,118.105232
19492.4336,3899.53198,106.767082,75.0763016,73.4506836,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,104.213234
19489.3594,3900.34521,107.511063,74.5836258,75.4355774,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,101.977013
19481.2246,3902.54004,110.082245,77.4686584,75.9766617,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,95.9796829
19481.168,3902.55688,109.67762,76.6244431,77.2256165,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,95.9796829
19514.3418,3894.01416,102.314049,68.7006836,68.4924011,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19511.3008,3894.72705,100.012939,71.6325989,69.7530594,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,118.108841
19512.9395,3894.32104,98.8700256,71.3167267,69.951355,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.36908
19421.2324,3920.83374,129.567734,89.7477188,89.4330597,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,100.453041,70.305069
19421.5547,3920.71729,132.065796,88.2933044,88.3894272,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,100.453041,70.305069
19387.3633,3932.87866,144.951569,94.7192154,95.5793381,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,83.8001938,60.456337
19398.0078,3928.97095,140.801208,92.7044296,93.5493927,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,83.0229568,69.4285049
19398.8711,3928.65332,139.416031,93.08255,93.779129,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,83.8001938,69.4285049
19510.1758,3895.00049,99.6188583,71.2308121,71.2922897,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,117.365288
19513.8828,3894.08911,99.1699448,70.1945801,70.1426086,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19503.6289,3896.63989,102.996803,72.3353043,71.7262573,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,112.448944
19500.0273,3897.55615,103.390587,73.6032867,72.6290359,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,109.884369
19513.8906,3894.08765,99.223793,70.1502838,70.1331558,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19491.1172,3899.87891,106.017517,75.8194122,74.3106766,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,103.359688
19413.9824,3923.29736,133.370438,91.165741,89.9207001,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,95.8624954,69.187294
19509.2715,3895.22681,101.263702,70.8817215,70.7921295,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,116.569771
19514.0469,3894.05615,100.305084,69.8542862,69.3479004,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19513.8926,3894.08716,99.2345886,70.2903671,69.9822006,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19384.7578,3933.88135,145.289276,95.486824,96.5515366,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,76.6937256,65.4851608
19379.5605,3935.84839,147.707504,97.1620178,96.5130692,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,76.6937256,61.4300919
19495.5723,3898.70923,104.92894,73.5299072,74.4434204,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,106.605034
19468.9336,3905.97949,114.006027,80.1498871,78.4730988,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,86.878334
19471.2422,3905.32178,113.569702,78.3404922,79.0326309,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,88.5642929
19472.1543,3905.06543,112.052673,79.2618027,78.8344269,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,89.3582306
19485.4434,3901.39331,108.817276,76.2736053,75.3322525,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,99.0842133
19382.6113,3934.69556,145.381943,96.9813156,96.6010284,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,73.9272385,66.6149521
19511.168,3894.75513,99.4067078,71.1094131,70.9113998,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,118.079689
19228.4219,4199.15674,313.819824,200.167114,192.655197,104.536064,157.714386,125.532188,179.677399,166.323105,163.249847,42.3477097,42.2856026,55.7049637,55.4866219
19514.0469,3894.05615,100.308884,69.7022171,69.4961319,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19513.8418,3894.09888,98.8779526,70.6743088,69.9549103,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19493.8008,3899.17065,105.168915,74.8321838,74.1724701,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,105.333771
19513.668,3894.14502,97.6426773,70.8663177,70.9982681,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19510.8672,3894.83008,100.038918,71.1616058,70.5006332,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,117.806274
19510.9277,3894.81567,100.467499,70.8194275,70.4140701,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,117.806274
19509.8086,3895.09106,100.443474,70.9292068,71.1061783,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,117.028313
19505.9668,3896.05225,101.153259,73.0233078,71.0638885,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,114.266785
19492.3633,3899.54834,106.021683,75.2415695,74.0061722,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,104.237869
19512.8418,3894.34521,98.7567368,71.3836899,70.0548859,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.311905
19502.252,3896.98853,103.244202,72.2637939,72.5381317,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,111.461136
19513.916,3894.08228,99.3930511,70.4794998,69.6345901,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19507.0703,3895.77466,101.513748,71.0969772,71.8896332,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,115.006966
19501.4375,3897.1958,102.747452,73.4462128,72.3762589,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,110.937439
19456.7402,3909.5415,118.534241,83.0914917,80.1380463,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,77.743515
19449.4766,3911.73364,119.416245,84.7503433,82.8832474,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,72.4574356
19457.3867,3909.34424,119.300789,81.0820312,80.9904861,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,78.134079
19459.248,3908.79688,116.265701,82.1803894,81.3056183,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,79.7556686
19496.5996,3898.44019,104.901634,73.5649414,73.711319,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,107.329323
19496.6543,3898.42627,105.288948,73.7875824,73.1013412,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,107.329323
19490.6523,3900.00024,106.632828,74.7341309,75.1655121,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,102.974815
19507.041,3895.78345,101.532478,72.4352493,70.5582047,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,114.981354
19485.334,3901.42529,109.368996,75.2155914,75.9687424,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,98.9538879
19494.2676,3899.05078,106.580795,74.1628418,73.2399979,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,105.523651
19493.1094,3899.35205,105.290222,75.0159607,74.3654633,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,104.835594
19493.1719,3899.33398,105.754654,74.647995,74.2688675,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,104.835594
19498.7363,3897.89014,104.836784,72.8749771,72.9595566,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,108.836067
19498.6055,3897.92114,103.907967,73.8046875,72.9585876,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,108.836067
19496.9199,3898.35693,104.107391,74.1651764,73.6021042,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,107.632523
19505.9805,3896.04517,101.001404,72.4422379,71.768837,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,114.294739
19369.8555,3939.65918,150.767365,99.2404175,99.0187454,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,66.9569702,63.5230865
19369.916,3939.64844,152.417526,99.0691605,97.6470184,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,66.8498535,63.5230865
19383.7285,3934.27588,145.941055,96.5644226,95.6928787,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,73.5371933,67.7710571
19513.7676,3894.11743,98.3450394,70.951683,70.2104034,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19513.9238,3894.08008,99.456749,70.0337067,70.0167084,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19514.5742,3893.99683,103.866379,67.8918457,67.7489624,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19488.9316,3900.45874,107.247986,75.8660965,74.697998,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.821754,101.872856
19444.8281,3913.19458,124.200867,83.0902863,83.7456589,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,109.308784,79.1609879
19438.2148,3915.26611,124.139877,86.6765137,84.9831085,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,108.684013,75.0229568
19427.5586,3918.72705,126.971725,89.0979691,87.7822189,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,104.023048,71.6316223
19444.7676,3913.2124,123.75354,84.9021835,82.3809967,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,109.308784,79.1609879
19422.373,3920.44897,133.427277,88.0026474,86.8092499,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,103.02758,68.2398987
19501.2949,3897.23193,103.082214,73.2774658,72.3428192,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,110.804855
19493.9766,3899.12598,106.517258,74.0254517,73.6395569,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,105.325089
19513.8867,3894.08838,99.1922913,70.507782,69.8071594,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19506.4062,3895.9397,100.357086,72.3591614,72.1342087,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,114.656586
19506.4473,3895.9292,100.637337,72.3834305,71.829895,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,114.656586
19508.2266,3895.48389,100.864861,71.8004608,70.9628143,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,115.879135
19510.791,3894.84985,99.2815323,70.8518066,71.5448456,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,117.828987
19412.9648,3923.65869,134.384552,91.4719543,89.499321,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,92.2140732,71.9365234
19513.8672,3894.09277,99.0593948,70.3653488,70.082428,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19509.8633,3895.0791,100.150307,70.6236954,71.6376266,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,117.09552
19511.1836,3894.75195,99.1018906,71.6466827,70.6380234,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,118.120575
19514.3008,3894.0188,102.03952,68.6964645,68.7711792,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19514.5195,3893.99976,103.495773,68.2458115,67.7655716,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19513.8008,3894.10864,98.5927811,70.5497742,70.3646011,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19503.1875,3896.75,102.250412,72.3554916,72.6856689,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,112.215599
19514.4883,3894.00171,103.293404,68.0555954,68.1581879,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19397.168,3929.26172,140.28627,94.7095184,92.5859756,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,85.1764908,66.7484512
19391.3594,3931.40845,141.562485,95.7252121,94.7954407,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,78.5842361,68.8391495
19504.5703,3896.40015,102.192673,72.0901794,72.0345688,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,113.18988
19504.4102,3896.44409,101.022148,73.0176544,72.2777786,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,113.18988
19513.873,3894.0918,99.0898438,70.5356369,69.8817825,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19511.7695,3894.60742,99.7004242,70.4687271,70.8665924,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,118.471428
19509.8379,3895.08472,99.9491577,71.7723465,70.6909561,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,117.094879
19509.1758,3895.24805,100.025284,71.7134247,71.1427002,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,116.625809
19367.9238,3940.43994,148.993683,101.896431,99.4222488,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,66.2593689,62.9347687
19360.0996,3943.60449,152.90242,103.777344,99.8993759,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,61.2413979,61.6860046
19405.8828,3926.15771,135.548889,93.2773361,91.9397354,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,84.8394165,73.9011993
19514.0508,3894.05566,100.325569,69.6571121,69.524559,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19512.7461,3894.36914,98.4145203,70.749382,71.0636215,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.279755
19512.7129,3894.37817,98.1844177,70.8046951,71.2383118,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.279755
19484.3086,3901.70312,109.524078,75.4662628,76.3029709,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,98.2141418
19497.3242,3898.25488,103.868324,73.4803009,74.2185898,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,107.940125
